zone_string,apartment_type_string,floor_height_m,laeq_db,period,total_surface_sqm,element_materials_string,absorption_coefficient_by_area_m,rt60_s,n._of_sound_sources_int,average_sound_source_distance_m,spl_db,barrier_distance_m,barrier_height_m,spl_after_barrier_db,spl_after_façade_dampening_db,comfort_index_float,wall_material,window_material,door_material,floor_material,ceiling_material,element_materials_string_raw,Window_Material,Wall_Material,Door_Material,Floor_Material,Ceiling_Material
HD-Urban-V0,1Bed,3,35.63,day,99,"Window: Insulated Glazing Unit and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Plaster with Wallpaper Backing; Window: Small Pane Glass and Painted Brick; Door: Double Pane Glass Door and Wood Paneling; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Floor: Terrazzo; Floor: Cork Floor Tiles; Ceiling: Sprayed Cellulose Fiber (75mm on Solid Backing); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.38127,0.479519,4,8.322505,34.170783,0.8,0,34.170783,19.519736,0.805,Concrete Block (Painted),Insulated Glazing Unit and Painted Brick,Double Pane Glass Door and Wood Paneling,Terrazzo,Sprayed Cellulose Fiber (75mm on Solid Backing),"Window: Insulated Glazing Unit and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Plaster with Wallpaper Backing; Window: Small Pane Glass and Painted Brick; Door: Double Pane Glass Door and Wood Paneling; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Floor: Terrazzo; Floor: Cork Floor Tiles; Ceiling: Sprayed Cellulose Fiber (75mm on Solid Backing); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",Insulated Glazing Unit and Painted Brick,Concrete Block (Painted),Double Pane Glass Door and Wood Paneling,Terrazzo,Sprayed Cellulose Fiber (75mm on Solid Backing)
Roadside-V1,1Bed,3,38.67,night,99,"Window: Small Pane Glass and Concrete Block (Coarse); Window: Wired Glass and Gypsum Board; Door: Steel Door with Acoustic Treatment and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Painted Brick; Floor: Medium Pile Carpet; Floor: Wood Parquet; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Perforated Underside of Structural Steel Decking",0.528236,0.396972,2,5.122148,37.125809,0.8,0,37.125809,23.82081,0.798,Concrete Block (Coarse),Small Pane Glass and Concrete Block (Coarse),Steel Door with Acoustic Treatment and Plaster with Wallpaper Backing,Medium Pile Carpet,"Hardboard, 25% Perforated Over 50mm Mineral Wool","Window: Small Pane Glass and Concrete Block (Coarse); Window: Wired Glass and Gypsum Board; Door: Steel Door with Acoustic Treatment and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Painted Brick; Floor: Medium Pile Carpet; Floor: Wood Parquet; Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool; Ceiling: Perforated Underside of Structural Steel Decking",Small Pane Glass and Concrete Block (Coarse),Concrete Block (Coarse),Steel Door with Acoustic Treatment and Plaster with Wallpaper Backing,Medium Pile Carpet,"Hardboard, 25% Perforated Over 50mm Mineral Wool"
GreenEdge-V3,1Bed,3,44.73,day,90,"Window: Single Pane Glass and Unpainted Brick; Door: Steel Door with Acoustic Treatment and Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Floor: Marble; Floor: Thick Pile Carpet; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.889162,0.279015,1,16.435535,26.999175,0.8,0,26.999175,11.485321,0.693,Concrete Block (Coarse),Single Pane Glass and Unpainted Brick,Steel Door with Acoustic Treatment and Concrete Block (Painted),Marble,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass","Window: Single Pane Glass and Unpainted Brick; Door: Steel Door with Acoustic Treatment and Concrete Block (Painted); Wall: Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Floor: Marble; Floor: Thick Pile Carpet; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",Single Pane Glass and Unpainted Brick,Concrete Block (Coarse),Steel Door with Acoustic Treatment and Concrete Block (Painted),Marble,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass"
HD-Urban-V0,1Bed,3,49.76,day,90,Window: Single Pane Glass and Plaster on Masonry; Door: Laminated Glass Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Gypsum Board; Wall: Concrete Block (Painted); Wall: Wood Paneling; Floor: Wood Parquet; Floor: Terrazzo; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing),0.350053,0.501677,1,5.122148,37.125809,0.8,0,37.125809,23.368105,0.646,Concrete Block (Painted),Single Pane Glass and Plaster on Masonry,Laminated Glass Door and Concrete Block (Coarse),Wood Parquet,Perforated Underside of Structural Steel Decking,Window: Single Pane Glass and Plaster on Masonry; Door: Laminated Glass Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Gypsum Board; Wall: Concrete Block (Painted); Wall: Wood Paneling; Floor: Wood Parquet; Floor: Terrazzo; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Sprayed Cellulose Fiber (16mm on Solid Backing),Single Pane Glass and Plaster on Masonry,Concrete Block (Painted),Laminated Glass Door and Concrete Block (Coarse),Wood Parquet,Perforated Underside of Structural Steel Decking
Roadside-V1,1Bed,3,50.15,day,90,"Window: Wired Glass and Wood Paneling; Door: Sliding Wood Door and Concrete Block (Painted); Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Wall: Wood Paneling; Floor: Thin Carpet on Concrete; Floor: Wood Flooring on Joists; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.173623,0.679009,1,7.087764,34.304667,0.8,0,34.304667,26.809977,0.582,Painted Brick,Wired Glass and Wood Paneling,Sliding Wood Door and Concrete Block (Painted),Thin Carpet on Concrete,"Mineral Wool Tiles, Glued/Screwed to Soffit","Window: Wired Glass and Wood Paneling; Door: Sliding Wood Door and Concrete Block (Painted); Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Wall: Wood Paneling; Floor: Thin Carpet on Concrete; Floor: Wood Flooring on Joists; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",Wired Glass and Wood Paneling,Painted Brick,Sliding Wood Door and Concrete Block (Painted),Thin Carpet on Concrete,"Mineral Wool Tiles, Glued/Screwed to Soffit"
GreenEdge-V3,1Bed,3,34.65,day,90,"Window: Laminated Glass and Painted Brick; Door: Plywood Door and Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.360575,0.493983,1,5.122148,37.125809,0.8,0,37.125809,24.914659,0.811,Painted Brick,Laminated Glass and Painted Brick,Plywood Door and Gypsum Board,Medium Pile Carpet,Underlay in Perforated Metal Panels (25mm Batts),"Window: Laminated Glass and Painted Brick; Door: Plywood Door and Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",Laminated Glass and Painted Brick,Painted Brick,Plywood Door and Gypsum Board,Medium Pile Carpet,Underlay in Perforated Metal Panels (25mm Batts)
HD-Urban-V0,1Bed,3,49.03,day,99,"Window: Glass Block and Plaster on Masonry; Window: Insulated Glazing Unit and Gypsum Board; Door: Steel Door with Acoustic Treatment and Wood Paneling; Wall: Wood Paneling; Wall: Plaster on Masonry; Wall: Acoustic Plaster; Wall: Concrete Block (Painted); Floor: Thin Carpet on Wood; Floor: Cork Floor Tiles; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",0.601894,0.365443,2,7.087764,34.304667,0.8,0,34.304667,19.608829,0.676,Wood Paneling,Glass Block and Plaster on Masonry,Steel Door with Acoustic Treatment and Wood Paneling,Thin Carpet on Wood,Perforated Underside of Structural Steel Decking,"Window: Glass Block and Plaster on Masonry; Window: Insulated Glazing Unit and Gypsum Board; Door: Steel Door with Acoustic Treatment and Wood Paneling; Wall: Wood Paneling; Wall: Plaster on Masonry; Wall: Acoustic Plaster; Wall: Concrete Block (Painted); Floor: Thin Carpet on Wood; Floor: Cork Floor Tiles; Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",Glass Block and Plaster on Masonry,Wood Paneling,Steel Door with Acoustic Treatment and Wood Paneling,Thin Carpet on Wood,Perforated Underside of Structural Steel Decking
Roadside-V1,1Bed,3,38.31,night,90,"Window: Insulated Glazing Unit and Acoustic Plaster; Door: Double Pane Glass Door and Concrete Block (Painted); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Wood Paneling; Floor: Cork Floor Tiles; Floor: Wood Parquet; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.440898,0.442211,1,18.062016,26.179528,0.8,0,26.179528,21.651108,0.789,Plaster on Masonry,Insulated Glazing Unit and Acoustic Plaster,Double Pane Glass Door and Concrete Block (Painted),Cork Floor Tiles,Sprayed Cellulose Fiber (25mm on Solid Backing),"Window: Insulated Glazing Unit and Acoustic Plaster; Door: Double Pane Glass Door and Concrete Block (Painted); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Wood Paneling; Floor: Cork Floor Tiles; Floor: Wood Parquet; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",Insulated Glazing Unit and Acoustic Plaster,Plaster on Masonry,Double Pane Glass Door and Concrete Block (Painted),Cork Floor Tiles,Sprayed Cellulose Fiber (25mm on Solid Backing)
GreenEdge-V3,1Bed,3,32.14,night,90,"Window: Insulated Glazing Unit and Concrete Block (Painted); Window: Glass Block and Acoustic Plaster; Door: Double Pane Glass Door and Plaster on Masonry; Wall: Fiberglass Board; Wall: Gypsum Board; Wall: Painted Brick; Floor: Wood Parquet; Floor: Thin Carpet on Concrete; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.477727,0.421935,2,5.577423,37.092947,0.8,0,37.092947,32.284492,0.862,Fiberglass Board,Insulated Glazing Unit and Concrete Block (Painted),Double Pane Glass Door and Plaster on Masonry,Wood Parquet,"Gypsum Plaster Tiles, 17% Perforated, 22mm","Window: Insulated Glazing Unit and Concrete Block (Painted); Window: Glass Block and Acoustic Plaster; Door: Double Pane Glass Door and Plaster on Masonry; Wall: Fiberglass Board; Wall: Gypsum Board; Wall: Painted Brick; Floor: Wood Parquet; Floor: Thin Carpet on Concrete; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",Insulated Glazing Unit and Concrete Block (Painted),Fiberglass Board,Double Pane Glass Door and Plaster on Masonry,Wood Parquet,"Gypsum Plaster Tiles, 17% Perforated, 22mm"
HD-Urban-V0,1Bed,3,53.97,day,90,"Window: Double Pane Glass and Fiberglass Board; Door: Hollow-Core Wood Door and Unpainted Brick; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Floor: Vinyl Tile; Floor: Vinyl Tile; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",0.578744,0.374798,1,18.062016,26.179528,0.8,0,26.179528,22.377716,0.626,Wood Paneling,Double Pane Glass and Fiberglass Board,Hollow-Core Wood Door and Unpainted Brick,Vinyl Tile,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing","Window: Double Pane Glass and Fiberglass Board; Door: Hollow-Core Wood Door and Unpainted Brick; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Plaster with Wallpaper Backing; Wall: Fiberglass Board; Floor: Vinyl Tile; Floor: Vinyl Tile; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",Double Pane Glass and Fiberglass Board,Wood Paneling,Hollow-Core Wood Door and Unpainted Brick,Vinyl Tile,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing"
