material,category,STL_dB,Absorption_Coefficient_500Hz,Scattering_Coefficient,Typical_Use
Concrete (20cm),Wall,50,0.02,0.05,Structural external walls
Brick (20cm),Wall,45,0.03,0.06,Low-rise residential walls
Wood Panel (5cm),Wall,25,0.25,0.2,Interior timber cladding
Gypsum Board (2cm),Wall,20,0.4,0.3,Interior drywall systems
Double Glazing,Window,30,0.2,0.1,Standard residential glazing
Triple Glazing,Window,40,0.3,0.15,High-performance facade glazing
Green Wall,Vegetation,10,0.5,0.35,Eco acoustic facade buffer
Acoustic Foam Panel,Insulation,25,0.95,0.5,Studio and vocal booth treatment
Ceiling Tile (Acoustic),Ceiling,35,0.75,0.45,Offices and classrooms
Carpet on Concrete,Floor,25,0.6,0.35,Residential and hospitality flooring
Laminated Gypsum Board,Wall,22,0.35,0.3,Interior acoustic drywall
Perforated Timber Panel,Wall,28,0.55,0.4,Aesthetic + absorptive cladding
Laminated Acoustic Glass,Window,42,0.25,0.15,Facade glazing with damping layer
Recycled Cotton Panel,Insulation,20,0.85,0.45,Eco-friendly cavity fill
Hemp Acoustic Mat,Insulation,18,0.8,0.4,Natural fiber wall insulation
Acoustic Baffle (Fabric),Ceiling,30,0.7,0.4,Suspended treatment in open plans
Slatted Wood Ceiling,Ceiling,32,0.6,0.5,Architectural noise diffusion
Cork Floor Tile,Floor,20,0.5,0.35,Quiet residential flooring
Floating Laminate Floor,Floor,28,0.45,0.3,Lightweight acoustic floor system
Living Roof (Sedum),Vegetation,18,0.6,0.35,Green roof with noise reduction
Reinforced Concrete Slab,Structure,55,0.01,0.05,Load-bearing floor or roof structure
Steel Frame (Filled),Structure,48,0.03,0.08,Framing system with acoustic core
Fabric Wall Finish,Finish,18,0.65,0.3,Soft finish for reducing reflections
Textured Plaster,Finish,20,0.15,0.4,Interior finish with mild absorption
