Zone,Apartment_Type,SPL,RT60 (material ac),RT60(seconds),Element,Material,Absortion_Coefficient,Height,Surface_Area(m),Facade_Dampening(Score),Comfort_Index
HD-Urban-V0,1Bed,0.372,3.321,0.819375,Window,Wired Glass + Acoustic Plaster,0.369,3,9,6.715196,0.368
MD-Urban-V2,1Bed,0.301,3.231,0.82066,Window,Laminated Glass + Concrete Block (Painted),0.359,3,9,6.889852,0.371
Roadside-V1,1Bed,0.456,0.288,0.756589,Window,Glass Block + Plaster with Wallpaper Backing,0.032,3,9,6.623164,0.489
HD-Urban-V1,1Bed,0.294,3.024,0.993621,Door,Laminated Glass Door + Concrete Block (Coarse),0.336,3,9,5.637209,0.382
Roadside-V2,3Bed,0.366,0.45,1.183327,Wall,Acoustic Plaster,0.5,3,9,8.863714,0.242
Roadside-V2,3Bed,0.374,3.24,0.837914,Wall,Concrete Block (Coarse),0.36,3,9,8.777306,0.308
Roadside-V2,1Bed,0.334,0.63,0.997409,Floor,Wood Parquet,0.07,3,9,5.787083,0.502
HD-Urban-V0,1Bed,0.392,2.25,0.587986,Floor,Thin Carpet on Concrete,0.25,6,9,8.097085,0.421
HD-Urban-V1,1Bed,0.311,1.8,0.515066,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,0.2,6,9,8.880937,0.443
HD-Urban-V1,1Bed,0.307,1.08,0.545491,Ceiling,"Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.12,6,9,8.486577,0.479
GreenEdge-V3,1Bed,0.133,4.302,0.535261,Window,Frosted Glass + Fiberglass Board,0.478,6,9,8.43413,0.316
Roadside-V2,1Bed,0.341,2.781,0.465024,Window,Glazed Ceramic Tile + Acoustic Plaster,0.309,6,9,8.935095,0.394
Ind-Zone-V0,1Bed,0.534,2.556,0.411405,Window,Frosted Glass + Concrete Block (Coarse),0.284,6,9,9.270111,0.408
Roadside-V2,1Bed,0.316,0.828,0.563909,Door,Acoustic Door + Unpainted Brick,0.092,6,9,8.057869,0.492
HD-Urban-V0,3Bed,0.416,5.85,1.196981,Wall,Fiberglass Board,0.65,6,9,15.321834,0.926
Ind-Zone-V0,3Bed,0.52,5.85,1.186334,Wall,Fiberglass Board,0.65,9,9,9.4872,0.986
Ind-Zone-V0,1Bed,0.524,0.09,1.08495,Floor,Marble,0.01,9,9,4.944443,0.48
HD-Urban-V1,1Bed,0.299,0.63,0.524531,Floor,Wood Parquet,0.07,9,9,8.381307,0.501
HD-Urban-V1,1Bed,0.355,3.6,0.747938,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,9,9,7.075243,0.354
HD-Urban-V0,1Bed,0.329,1.8,0.820231,Ceiling,"Plaster Decorative Panels, Ceilings",0.2,9,9,6.428646,0.443
GreenEdge-V3,1Bed,0.215,0.387,0.601272,Window,Wired Glass + Plaster with Wallpaper Backing,0.043,12,9,8.281895,0.492
Roadside-V1,1Bed,0.4,0.288,1.020092,Window,Wired Glass + Plaster on Masonry,0.032,12,9,7.133594,0.488
GreenEdge-V3,1Bed,0.116,0.36,0.516082,Window,Large Pane Glass + Plaster with Wallpaper Backing,0.04,12,9,10.56842,0.489
HD-Urban-V1,1Bed,0.287,0.9,1.309359,Door,Steel Door with Acoustic Treatment + Unpainted Brick,0.1,12,9,6.475218,0.488
Ind-Zone-V0,3Bed,0.512,5.85,1.00744,Wall,Fiberglass Board,0.65,12,9,5.551083,0.985
HD-Urban-V0,3Bed,0.366,0.09,1.097751,Wall,Painted Brick,0.01,3,9,6.159456,0.497
MD-Urban-V2,1Bed,0.374,2.25,0.888817,Floor,Thin Carpet on Concrete,0.25,12,9,7.935014,0.42
HD-Urban-V1,1Bed,0.301,4.5,0.700295,Floor,Medium Pile Carpet,0.5,12,9,8.541799,0.308
HD-Urban-V1,1Bed,0.31,4.5,0.662135,Ceiling,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.5,12,9,9.0317,0.308
Roadside-V1,1Bed,0.421,1.8,0.746871,Ceiling,50mm Mineral Wool Behind 25% Open Area Perforated Steel,0.2,12,9,8.524097,0.444
HD-Urban-V0,2Bed,0.38,0.477,0.813238,Window,Frosted Glass + Gypsum Board,0.053,3,9,7.608125,0.994
MD-Urban-V2,2Bed,0.294,0.252,1.75121,Window,Large Pane Glass + Plaster on Masonry,0.028,3,9,7.640008,0.983
Roadside-V1,2Bed,0.448,1.467,0.796738,Window,Laminated Glass + Wood Paneling,0.163,3,9,7.71824,0.957
HD-Urban-V1,2Bed,0.286,0.504,0.750591,Door,Laminated Glass Door + Unpainted Brick,0.056,3,9,7.609501,0.995
HD-Urban-V0,3Bed,0.366,5.85,1.097751,Wall,Fiberglass Board,0.65,3,9,7.914073,0.49
GreenEdge-V3,3Bed,0.374,0.36,0.888817,Wall,Plaster with Wallpaper Backing,0.04,3,9,4.957443,0.868
Roadside-V2,2Bed,0.386,0.27,0.700295,Floor,Vinyl Tile,0.03,3,9,7.829073,0.984
HD-Urban-V0,2Bed,0.374,0.27,0.987349,Floor,Vinyl Tile,0.03,3,9,7.687609,0.984
HD-Urban-V1,2Bed,0.338,3.78,0.870312,Ceiling,"Mineral Wool Tiles, 180mm Airspace",0.42,3,9,7.627414,0.841
HD-Urban-V1,2Bed,0.283,4.5,0.719342,Ceiling,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.5,3,9,7.633036,0.433
GreenEdge-V3,2Bed,0.146,0.585,1.146303,Window,Laminated Glass + Painted Brick,0.065,6,9,7.531727,0.314
Roadside-V2,2Bed,0.358,3.609,1.098682,Window,Glazed Ceramic Tile + Fiberglass Board,0.401,6,9,7.485834,0.484
Ind-Zone-V0,2Bed,0.51,3.42,0.944874,Window,Small Pane Glass + Acoustic Plaster,0.38,6,9,9.566927,0.385
Roadside-V2,2Bed,0.303,0.63,0.934989,Door,Fire-Rated Door with Mineral Core + Plaster on Masonry,0.07,6,9,10.187892,0.349
Roadside-V2,3Bed,0.338,0.45,1.387289,Wall,Gypsum Board,0.05,3,9,8.722307,0.392
Roadside-V2,3Bed,0.341,0.18,1.122507,Wall,Plaster on Masonry,0.02,3,9,6.785243,0.392
Ind-Zone-V0,2Bed,0.488,0.27,1.101952,Floor,Vinyl Tile,0.03,6,9,8.662421,0.492
HD-Urban-V1,2Bed,0.326,4.5,1.021999,Floor,Thick Pile Carpet,0.5,6,9,8.848843,0.488
HD-Urban-V1,2Bed,0.376,0.72,0.979143,Ceiling,Sprayed Cellulose Fiber (25mm on Solid Backing),0.08,6,9,9.893511,0.308
HD-Urban-V0,2Bed,0.358,1.35,0.632607,Ceiling,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.15,9,9,10.672535,0.485
GreenEdge-V3,2Bed,0.211,3.213,0.686931,Window,Glazed Ceramic Tile + Acoustic Plaster,0.357,9,9,11.025577,0.421
Roadside-V1,2Bed,0.408,3.681,0.959212,Window,Insulated Glazing Unit + Fiberglass Board,0.409,9,9,9.077007,0.445
GreenEdge-V3,2Bed,0.126,0.477,1.113312,Window,Double Pane Glass + Painted Brick,0.053,9,9,8.765241,0.353
HD-Urban-V1,2Bed,0.29,0.378,0.52991,Door,Sliding Wood Door + Plaster with Wallpaper Backing,0.042,9,9,8.650585,0.494
HD-Urban-V0,3Bed,0.362,5.85,1.138939,Wall,Fiberglass Board,0.65,3,9,6.428646,0.43
Ind-Zone-V0,3Bed,0.502,3.24,0.668441,Wall,Concrete Block (Coarse),0.36,6,9,9.0537,0.975
MD-Urban-V2,2Bed,0.268,0.63,1.049308,Floor,Wood Parquet,0.07,9,9,12.27421,0.494
HD-Urban-V1,2Bed,0.341,2.7,0.758499,Floor,Thin Carpet on Wood,0.3,9,9,8.89627,0.485
HD-Urban-V1,2Bed,0.306,0.9,0.630146,Ceiling,"Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing",0.1,9,9,11.526961,0.487
Roadside-V1,2Bed,0.474,1.71,1.314962,Ceiling,"Metal Deck (Perforated Channels, 25mm Batts)",0.19,9,9,12.69262,0.481
HD-Urban-V0,2Bed,0.32,2.376,0.989989,Window,Small Pane Glass + Concrete Block (Coarse),0.264,12,9,13.238135,0.483
Roadside-V2,2Bed,0.367,0.252,0.810948,Window,Glass Block + Plaster with Wallpaper Backing,0.028,12,9,10.043245,0.5
